gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0051900111,249,PT05M58.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,32,28,4,Made,1,45,44,89,v,Valanciunas 4' Turnaround Fadeaway Bank Jump Shot (16 PTS) (Anderson 6 AST),Made Shot,Turnaround Fadeaway Bank Jump Shot,1,2,186
0051900111,251,PT05M52.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,0,0,0,v,Valanciunas P.FOUL (P2.T2) (P.Fraher),Foul,Personal,1,0,187
0051900111,253,PT05M52.00S,2,1610612757,POR,2546,Anthony,C. Anthony,0,0,0,,0,0,0,0,h,SUB: Gabriel FOR Anthony,Substitution,,0,0,188
0051900111,254,PT05M52.00S,2,1610612763,MEM,1629001,Melton,D. Melton,0,0,0,,0,0,0,0,v,SUB: Morant FOR Melton,Substitution,,0,0,189
0051900111,256,PT05M52.00S,2,1610612763,MEM,201229,Tolliver,A. Tolliver,0,0,0,,0,0,0,0,v,SUB: Dieng FOR Tolliver,Substitution,,0,0,190
0051900111,261,PT05M52.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,0,0,0,v,SUB: Clarke FOR Valanciunas,Substitution,,0,0,191
0051900111,262,PT05M43.00S,2,1610612757,POR,203994,Nurkić,J. Nurkić,18,14,2,Missed,1,0,0,0,h,MISS Nurkic 2' Layup,Missed Shot,Layup Shot,1,2,192
0051900111,262,PT05M43.00S,2,1610612763,MEM,1629634,Clarke,B. Clarke,0,0,0,,0,0,0,0,v,Clarke BLOCK (2 BLK),,,1,2,193
0051900111,264,PT05M43.00S,2,0,,1610612757,,,0,0,0,,0,0,0,0,h,TRAIL BLAZERS Rebound,Rebound,Unknown,0,0,194
0051900111,266,PT05M37.00S,2,1610612757,POR,203468,McCollum,C. McCollum,-225,-1,0,Missed,1,0,0,0,h,MISS McCollum  3PT Jump Shot,Missed Shot,Jump Shot,1,3,195
0051900111,267,PT05M37.00S,2,1610612763,MEM,1629634,Clarke,B. Clarke,0,0,0,,0,0,0,0,v,Clarke REBOUND (Off:2 Def:1),Rebound,Unknown,1,0,196
0051900111,268,PT05M26.00S,2,1610612763,MEM,203937,Anderson,K. Anderson,0,0,0,,0,0,0,0,v,Anderson Out of Bounds Lost Ball Turnover (P2.T6),Turnover,Out of Bounds Lost Ball Turnover,1,0,197
