season,phase,game_id,home_team,road_team,stat,delta_home,delta_road,abs_sum,max_abs_side,classification,tov_max_t_home,tov_max_t_road,blk_sum_player_home,blk_sum_player_road
2014-15,regular,0021400072,ORL,MIN,ftm,0,1,1,1,ft_source_gap_small,,,,
2014-15,regular,0021400215,ATL,TOR,ftm,0,1,1,1,ft_source_gap_small,,,,
2014-15,regular,0021400615,GSW,DEN,ftm,0,1,1,1,ft_source_gap_small,,,,
2014-15,regular,0021400769,DET,MIN,ftm,1,0,1,1,ft_source_gap_small,,,,
2014-15,regular,0021400814,GSW,SAS,ftm,1,0,1,1,ft_source_gap_small,,,,
2014-15,regular,0021400855,PHX,OKC,ftm,1,0,1,1,ft_source_gap_small,,,,
2014-15,regular,0021401181,HOU,SAS,ftm,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800017,DAL,HOU,ftm,0,1,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800138,HOU,NOH,ftm,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800153,BOS,NYK,ftm,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800153,BOS,NYK,fta,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800157,GSW,POR,ftm,0,1,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800225,TOR,ATL,ftm,0,1,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800242,HOU,SAS,ftm,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800329,BOS,NOH,ftm,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800380,BOS,CHI,ftm,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800400,BOS,NYK,ftm,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800401,WAS,DAL,ftm,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800431,NOH,HOU,ftm,0,1,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800449,LAL,GSW,ftm,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800654,GSW,LAC,ftm,0,1,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800681,DET,BOS,ftm,0,1,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800713,GSW,SAS,ftm,0,1,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800796,UTA,MEM,ftm,1,0,1,1,ft_source_gap_small,,,,
2008-09,regular,0020800871,DEN,LAL,ftm,0,1,1,1,ft_source_gap_small,,,,
2008-09,regular,0020801102,UTA,NYK,ftm,1,0,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300031,SAC,LAC,ftm,1,0,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300107,MIA,MIL,ftm,1,0,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300215,CHA,IND,ftm,0,1,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300225,DAL,GSW,ftm,0,1,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300251,SAC,GSW,ftm,1,0,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300368,GSW,NOP,ftm,0,1,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300414,SAS,TOR,ftm,1,0,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300451,SAS,SAC,ftm,0,1,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300493,MIN,OKC,ftm,1,0,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300541,GSW,BOS,ftm,1,0,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300564,MEM,OKC,ftm,0,1,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300656,NOP,ORL,ftm,1,0,1,1,ft_source_gap_small,,,,
2013-14,regular,0021300759,BKN,NOP,ftm,1,0,1,1,ft_source_gap_small,,,,
2013-14,regular,0021301057,CLE,TOR,ftm,0,1,1,1,ft_source_gap_small,,,,
2013-14,regular,0021301230,DEN,GSW,ftm,1,0,1,1,ft_source_gap_small,,,,
2012-13,regular,0021200086,MIL,BOS,ftm,1,0,1,1,ft_source_gap_small,,,,
2012-13,regular,0021200217,NOH,UTA,ftm,0,1,1,1,ft_source_gap_small,,,,
2012-13,regular,0021200251,PHI,MIN,ftm,0,1,1,1,ft_source_gap_small,,,,
2012-13,regular,0021200606,NOH,SAC,ftm,0,1,1,1,ft_source_gap_small,,,,
2012-13,regular,0021200861,IND,LAC,ftm,0,1,1,1,ft_source_gap_small,,,,
2012-13,regular,0021200867,BOS,GSW,ftm,1,0,1,1,ft_source_gap_small,,,,
2012-13,regular,0021201053,GSW,LAL,ftm,0,1,1,1,ft_source_gap_small,,,,
2012-13,regular,0021201184,HOU,MEM,ftm,0,1,1,1,ft_source_gap_small,,,,
2015-16,regular,0021500391,CHI,DET,ftm,0,1,1,1,ft_source_gap_small,,,,
