Season,Team,Games,Net_Rating,EFG,BH,OREB,FT_Rate,Opp_EFG,Opp_BH,Opp_OREB,Opp_FT_Rate
2023-24,MEM,82,-6.900592,0.5095,0.866024,0.237539,0.184708,0.552679,0.86454,0.249671,0.197829
2023-24,MIA,89,0.812406,0.536626,0.882928,0.214137,0.207514,0.544251,0.874059,0.217947,0.176496
2023-24,MIL,88,2.221828,0.566178,0.885436,0.218355,0.211234,0.540814,0.894933,0.226031,0.187212
2023-24,MIN,98,5.849822,0.557325,0.87252,0.235821,0.214319,0.52072,0.871629,0.22753,0.2035
2023-24,NOP,88,3.572657,0.552567,0.879507,0.244783,0.20137,0.541212,0.872127,0.226079,0.187982
2023-24,NYK,95,4.000997,0.538373,0.883734,0.295376,0.195803,0.547748,0.878695,0.24097,0.180404
2023-24,OKC,92,7.037997,0.569958,0.887041,0.208518,0.19788,0.528173,0.862689,0.262515,0.200999
2023-24,ORL,89,2.411018,0.538001,0.866695,0.253475,0.220814,0.539799,0.861209,0.213439,0.207401
2023-24,PHI,89,2.734182,0.532452,0.891815,0.248617,0.222461,0.535528,0.871361,0.261121,0.214574
2023-24,PHX,86,2.365618,0.565253,0.8662,0.245655,0.226336,0.537924,0.886668,0.247149,0.184765
2023-24,POR,82,-8.985207,0.503448,0.866038,0.27299,0.18222,0.558721,0.871773,0.259292,0.219031
2023-24,SAC,84,1.88905,0.554491,0.88461,0.244821,0.172132,0.555238,0.87422,0.21383,0.213014
2023-24,SAS,82,-6.28316,0.533314,0.868041,0.229361,0.173144,0.556763,0.883135,0.23338,0.175607
2023-24,TOR,82,-6.336663,0.536114,0.876311,0.24165,0.183669,0.5663,0.878068,0.259746,0.174774
2023-24,UTA,82,-5.142189,0.539752,0.864413,0.280326,0.210313,0.568405,0.891472,0.245872,0.184021
2023-24,WAS,82,-8.651303,0.538723,0.877707,0.197751,0.170676,0.563174,0.880294,0.273915,0.203036
2024-25,ATL,84,-1.378654,0.54558,0.86884,0.259048,0.198549,0.561538,0.862936,0.238142,0.203351
