Game_ID,Game_Date,Home_Team,Road_Team,Home_OFF_Rating,Home_EFG,Home_BH,Home_OREB,Home_FT_Rate,Road_OFF_Rating,Road_EFG,Road_BH,Road_OREB,Road_FT_Rate
0022000116,2021-01-06,GSW,LAC,103.061224,0.5,0.878912,0.181818,0.174419,109.090909,0.512346,0.821429,0.307692,0.308642
0022000110,2021-01-06,ATL,CHA,92.156863,0.411458,0.888813,0.226415,0.15625,100.0,0.441176,0.908692,0.150943,0.317647
0022000108,2021-01-06,ORL,CLE,110.526316,0.567901,0.847503,0.2,0.160494,100.0,0.447059,0.90605,0.270833,0.211765
0022000120,2021-01-07,DEN,DAL,108.333333,0.520619,0.883566,0.195652,0.164948,114.814815,0.574713,0.885604,0.155556,0.275862
0022000121,2021-01-07,LAL,SAS,110.10101,0.55814,0.879897,0.209302,0.151163,118.0,0.554348,0.925568,0.133333,0.173913
0022000122,2021-01-07,POR,MIN,126.168224,0.644444,0.869701,0.153846,0.211111,107.33945,0.494624,0.870466,0.283019,0.268817
0022000119,2021-01-07,MEM,CLE,95.744681,0.5,0.827784,0.268293,0.084337,101.075269,0.537975,0.843199,0.159091,0.113924
0022000118,2021-01-07,BKN,PHI,110.909091,0.530928,0.894102,0.203704,0.195876,99.090909,0.522989,0.827288,0.097561,0.206897
0022000124,2021-01-08,BOS,WAS,109.433962,0.546512,0.825291,0.261905,0.255814,100.943396,0.528409,0.848268,0.155556,0.159091
0022000125,2021-01-08,NYK,OKC,93.684211,0.401042,0.954463,0.177419,0.125,104.123711,0.5,0.897426,0.22449,0.16092
0022000123,2021-01-08,DET,PHX,101.851852,0.472222,0.858049,0.18,0.277778,97.222222,0.543956,0.821611,0.195652,0.065934
0022000131,2021-01-08,LAL,CHI,119.387755,0.580247,0.860957,0.238095,0.283951,117.346939,0.56044,0.88199,0.219512,0.142857
0022000128,2021-01-08,MEM,BKN,110.576923,0.52551,0.881517,0.24,0.122449,105.769231,0.555556,0.811219,0.105263,0.246914
0022000126,2021-01-08,NOP,CHA,113.402062,0.590909,0.823157,0.25641,0.246753,121.649485,0.563218,0.867257,0.380952,0.229885
0022000129,2021-01-08,MIL,UTA,114.563107,0.515306,0.899363,0.183673,0.173469,127.184466,0.634021,0.911285,0.217391,0.082474
0022000127,2021-01-08,HOU,ORL,136.082474,0.681319,0.922958,0.175,0.087912,93.75,0.426966,0.880778,0.176471,0.157303
0022000130,2021-01-08,GSW,LAC,119.791667,0.609756,0.848943,0.25,0.182927,108.247423,0.566265,0.823617,0.25641,0.13253
0022000132,2021-01-08,SAC,TOR,121.782178,0.660494,0.886062,0.085714,0.197531,144.0,0.692308,0.885644,0.342857,0.197802
0022000137,2021-01-09,MIL,CLE,105.263158,0.511905,0.851742,0.25,0.166667,95.744681,0.454023,0.839343,0.291667,0.126437
0022000139,2021-01-09,DAL,ORL,114.285714,0.620253,0.828441,0.153846,0.177215,98.989899,0.460674,0.907987,0.208333,0.179775
